query_id,model,prompt_tokens,completion_tokens,rerank_count,latency_ms,estimated_cost_usd
1,openai/gpt-5.4-mini,4038,157,20,2185.91,0.003735
3,openai/gpt-4o-mini,4807,100,20,2789.37,0.000781
5,openai/gpt-5.4-mini,8062,60,20,1130.89,0.006317
13,openai/gpt-4o-mini,8631,52,20,2936.65,0.001326
36,openai/gpt-4o-mini,8832,180,20,4744.22,0.001433
42,openai/gpt-4o-mini,7849,148,20,7213.9,0.001266
48,openai/gpt-5.4-mini,8004,130,20,1561.45,0.006588
49,openai/gpt-4o-mini,5381,129,20,4705.91,0.000885
50,openai/gpt-4o-mini,5233,52,20,1771.59,0.000816
51,openai/gpt-4o-mini,6601,71,20,2151.19,0.001033
53,openai/gpt-4o-mini,7129,68,20,2426.93,0.00111
54,openai/gpt-4o-mini,6251,158,20,3407.54,0.001032
56,openai/gpt-4o-mini,6654,86,20,2501.48,0.00105
57,openai/gpt-4o-mini,6655,132,20,2838.53,0.001077
70,openai/gpt-4o-mini,5316,101,20,2536.56,0.000858
72,openai/gpt-5.4-mini,5469,189,20,1833.37,0.004952
75,openai/gpt-5.4-mini,6331,137,20,1343.32,0.005365
94,openai/gpt-5.4-mini,6448,69,20,1214.16,0.005147
99,openai/gpt-5.4-mini,6235,78,20,1400.15,0.005027
100,openai/gpt-4o-mini,5032,68,20,2520.58,0.000796
113,openai/gpt-4o-mini,9180,104,20,3026.75,0.001439
115,openai/gpt-5.4-mini,5974,60,20,2848.41,0.004751
118,openai/gpt-4o-mini,5882,81,20,2199.59,0.000931
124,openai/gpt-4o-mini,7980,127,20,3936.57,0.001273
127,openai/gpt-4o-mini,6486,45,20,6099.65,0.001
128,openai/gpt-5.4-mini,6810,58,20,1135.95,0.005369
129,openai/gpt-4o-mini,7520,127,20,2852.27,0.001204
130,openai/gpt-4o-mini,7735,103,20,3001.52,0.001222
132,openai/gpt-4o-mini,7273,115,20,3660.26,0.00116
133,openai/gpt-5.4-mini,6729,224,20,1896.69,0.006055
137,openai/gpt-4o-mini,7878,111,20,4247.08,0.001248
141,openai/gpt-4o-mini,5692,118,20,3910.3,0.000925
142,openai/gpt-4o-mini,6088,120,20,3137.39,0.000985
143,openai/gpt-4o-mini,6367,107,20,3270.64,0.001019
146,openai/gpt-4o-mini,5940,138,20,3977.92,0.000974
148,openai/gpt-4o-mini,4896,135,20,4298.76,0.000815
163,openai/gpt-4o-mini,7237,122,20,3867.03,0.001159
171,openai/gpt-4o-mini,5469,134,20,4292.77,0.000901
179,openai/gpt-4o-mini,7241,176,20,3933.1,0.001192
180,openai/gpt-4o-mini,6039,70,20,2280.41,0.000948
183,openai/gpt-4o-mini,5515,246,20,5714.4,0.000975
185,openai/gpt-4o-mini,7218,205,20,4893.92,0.001206
198,openai/gpt-5.4-mini,6104,108,20,1854.01,0.005064
208,openai/gpt-4o-mini,7257,137,20,3882.64,0.001171
212,openai/gpt-4o-mini,5456,115,20,2885.76,0.000887
213,openai/gpt-4o-mini,9468,222,20,5022.8,0.001553
216,openai/gpt-4o-mini,5236,108,20,2573.42,0.00085
217,openai/gpt-4o-mini,4944,98,20,7444.01,0.0008
218,openai/gpt-4o-mini,5877,136,20,6036.76,0.000963
219,openai/gpt-4o-mini,5980,117,20,3078.09,0.000967
