query_id,model,prompt_tokens,completion_tokens,rerank_count,latency_ms,estimated_cost_usd
1,openai/gpt-5.4-mini,1269,136,20,1878.98,0.001564
3,openai/gpt-4o-mini,1283,99,20,3386.75,0.000252
5,openai/gpt-5.4-mini,2597,87,20,1677.39,0.002339
13,openai/gpt-4o-mini,2271,52,20,1858.3,0.000372
36,openai/gpt-4o-mini,2543,146,20,3650.09,0.000469
42,openai/gpt-4o-mini,2068,168,20,3873.51,0.000411
48,openai/gpt-5.4-mini,2351,200,20,2064.23,0.002663
49,openai/gpt-4o-mini,1378,107,20,2862.93,0.000271
50,openai/gpt-4o-mini,1260,45,20,1554.14,0.000216
51,openai/gpt-4o-mini,1559,69,20,2158.68,0.000275
53,openai/gpt-4o-mini,1912,68,20,4117.77,0.000328
54,openai/gpt-4o-mini,1615,102,20,3787.31,0.000303
56,openai/gpt-4o-mini,2025,81,20,2252.04,0.000352
57,openai/gpt-4o-mini,2026,93,20,2368.75,0.00036
70,openai/gpt-4o-mini,1153,34,20,2190.62,0.000193
72,openai/gpt-5.4-mini,1102,218,20,1933.96,0.001808
75,openai/gpt-5.4-mini,1992,120,20,1412.66,0.002034
94,openai/gpt-5.4-mini,1827,39,20,1004.09,0.001546
99,openai/gpt-5.4-mini,1708,77,20,1081.13,0.001628
100,openai/gpt-4o-mini,1213,63,20,3796.53,0.00022
113,openai/gpt-4o-mini,2212,95,20,2976.92,0.000389
115,openai/gpt-5.4-mini,1553,73,20,1049.25,0.001493
118,openai/gpt-4o-mini,1593,82,20,2125.58,0.000288
124,openai/gpt-4o-mini,2645,107,20,4336.2,0.000461
127,openai/gpt-4o-mini,1732,59,20,3411.28,0.000295
128,openai/gpt-5.4-mini,2243,82,20,1528.6,0.002051
129,openai/gpt-4o-mini,2612,124,20,5377.6,0.000466
130,openai/gpt-4o-mini,2563,103,20,2723.16,0.000446
132,openai/gpt-4o-mini,1674,82,20,2266.15,0.0003
133,openai/gpt-5.4-mini,1873,141,20,1539.23,0.002039
137,openai/gpt-4o-mini,2199,71,20,2576.94,0.000372
141,openai/gpt-4o-mini,1550,98,20,3196.81,0.000291
142,openai/gpt-4o-mini,2468,101,20,3263.41,0.000431
143,openai/gpt-4o-mini,2756,107,20,2893.86,0.000478
146,openai/gpt-4o-mini,2505,113,20,2973.48,0.000444
148,openai/gpt-4o-mini,1165,81,20,3242.86,0.000223
163,openai/gpt-4o-mini,1779,118,20,2596.04,0.000338
171,openai/gpt-4o-mini,1530,116,20,3220.61,0.000299
179,openai/gpt-4o-mini,2118,153,20,4214.27,0.000409
180,openai/gpt-4o-mini,1750,67,20,2347.09,0.000303
183,openai/gpt-4o-mini,1411,216,20,4734.92,0.000341
185,openai/gpt-4o-mini,2092,163,20,5968.02,0.000412
198,openai/gpt-5.4-mini,1842,103,20,1281.94,0.001845
208,openai/gpt-4o-mini,1766,118,20,3387.68,0.000336
212,openai/gpt-4o-mini,1708,108,20,3226.64,0.000321
213,openai/gpt-4o-mini,2519,202,20,4671.2,0.000499
216,openai/gpt-4o-mini,1231,120,20,3260.32,0.000257
217,openai/gpt-4o-mini,1343,108,20,3003.82,0.000266
218,openai/gpt-4o-mini,1732,95,20,2967.65,0.000317
219,openai/gpt-4o-mini,1506,123,20,3533.99,0.0003
