query_id,model,prompt_tokens,completion_tokens,rerank_count,latency_ms,estimated_cost_usd
1,openai/gpt-5.4-mini,2598,148,20,1598.15,0.002615
3,openai/gpt-4o-mini,2551,87,20,5230.62,0.000435
5,openai/gpt-5.4-mini,4939,85,20,1315.56,0.004087
13,openai/gpt-4o-mini,4935,52,20,5375.92,0.000771
36,openai/gpt-4o-mini,4923,186,20,6903.54,0.00085
42,openai/gpt-4o-mini,4171,166,20,3692.32,0.000725
48,openai/gpt-5.4-mini,4506,166,20,1727.85,0.004126
49,openai/gpt-4o-mini,2828,132,20,3674.87,0.000503
50,openai/gpt-4o-mini,2507,45,20,1823.89,0.000403
51,openai/gpt-4o-mini,3597,53,20,5528.77,0.000571
53,openai/gpt-4o-mini,3639,70,20,2403.85,0.000588
54,openai/gpt-4o-mini,2754,102,20,3008.02,0.000474
56,openai/gpt-4o-mini,3842,106,20,2441.99,0.00064
57,openai/gpt-4o-mini,3796,117,20,2879.71,0.00064
70,openai/gpt-4o-mini,2265,34,20,1940.25,0.00036
72,openai/gpt-5.4-mini,2640,153,20,1600.99,0.002668
75,openai/gpt-5.4-mini,3757,142,20,1979.07,0.003457
94,openai/gpt-5.4-mini,3717,104,20,1509.65,0.003256
99,openai/gpt-5.4-mini,3115,57,20,1080.58,0.002593
100,openai/gpt-4o-mini,2189,80,20,2601.43,0.000376
113,openai/gpt-4o-mini,4921,104,20,5477.53,0.000801
115,openai/gpt-5.4-mini,3771,50,20,1120.68,0.003053
118,openai/gpt-4o-mini,3099,81,20,3065.09,0.000513
124,openai/gpt-4o-mini,4891,121,20,4260.3,0.000806
127,openai/gpt-4o-mini,3028,44,20,4401.41,0.000481
128,openai/gpt-5.4-mini,3965,84,20,1088.99,0.003352
129,openai/gpt-4o-mini,4519,110,20,2801.28,0.000744
130,openai/gpt-4o-mini,4690,103,20,6625.04,0.000765
132,openai/gpt-4o-mini,3742,94,20,2065.23,0.000618
133,openai/gpt-5.4-mini,3618,131,20,1615.25,0.003303
137,openai/gpt-4o-mini,3990,90,20,2583.78,0.000652
141,openai/gpt-4o-mini,2957,130,20,3143.55,0.000522
142,openai/gpt-4o-mini,3687,103,20,5425.67,0.000615
143,openai/gpt-4o-mini,3713,109,20,3105.34,0.000622
146,openai/gpt-4o-mini,3717,118,20,4277.28,0.000628
148,openai/gpt-4o-mini,2902,131,20,3066.33,0.000514
163,openai/gpt-4o-mini,4053,120,20,3160.76,0.00068
171,openai/gpt-4o-mini,2978,125,20,4749.15,0.000522
179,openai/gpt-4o-mini,4001,145,20,5968.62,0.000687
180,openai/gpt-4o-mini,2983,67,20,2177.42,0.000488
183,openai/gpt-4o-mini,2977,304,20,8191.24,0.000629
185,openai/gpt-4o-mini,3583,184,20,6056.99,0.000648
198,openai/gpt-5.4-mini,3409,86,20,1169.61,0.002944
208,openai/gpt-4o-mini,3625,140,20,4872.06,0.000628
212,openai/gpt-4o-mini,3290,85,20,3153.02,0.000544
213,openai/gpt-4o-mini,5104,142,20,5202.54,0.000851
216,openai/gpt-4o-mini,2568,117,20,4279.84,0.000455
217,openai/gpt-4o-mini,2539,111,20,3366.91,0.000447
218,openai/gpt-4o-mini,3058,115,20,3086.83,0.000528
219,openai/gpt-4o-mini,3134,103,20,4291.33,0.000532
